Place_Istanbul,Place_Izmir,Place_National Average,ProductName_Bananas - Retail,ProductName_Beans (white) - Retail,ProductName_Bread (common) - Retail,ProductName_Bulgur - Retail,ProductName_Cabbage - Retail,ProductName_Cauliflower - Retail,ProductName_Cheese - Retail,ProductName_Chickpeas - Retail,ProductName_Cocoa (powder) - Retail,ProductName_Coffee (instant) - Retail,ProductName_Coffee - Retail,ProductName_Cucumbers - Retail,ProductName_Eggplants - Retail,ProductName_Eggs - Retail,ProductName_Electricity - Retail,ProductName_Fish (fresh) - Retail,ProductName_Fuel (gas) - Retail,ProductName_Fuel (petrol-gasoline) - Retail,ProductName_Garlic - Retail,ProductName_Groundnuts (shelled) - Retail,ProductName_Lentils - Retail,ProductName_Meat (chicken) - Retail,ProductName_Meat (mutton) - Retail,ProductName_Meat (veal) - Retail,ProductName_Milk (pasteurized) - Retail,"ProductName_Milk (powder, infant formula) - Retail",ProductName_Oil (olive) - Retail,ProductName_Oil (sunflower) - Retail,ProductName_Onions - Retail,ProductName_Oranges - Retail,ProductName_Others,ProductName_Pasta - Retail,ProductName_Potatoes - Retail,ProductName_Rice - Retail,ProductName_Salt - Retail,ProductName_Spinach - Retail,ProductName_Sugar - Retail,ProductName_Tea (herbal) - Retail,ProductName_Tea - Retail,ProductName_Tomatoes (paste) - Retail,ProductName_Tomatoes - Retail,ProductName_Transport (public) - Retail,ProductName_Water - Retail,ProductName_Wheat flour - Retail,ProductName_Yogurt - Retail,ProductName_Zucchini - Retail,UmName_Course,UmName_Cubic meter,UmName_Day,UmName_KG,UmName_L,UmName_Package,UmName_Unit,UmName_kWh,Month,Year,Price
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,0.2017,0.4792
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07,0.2015,15.36
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0.2018,2.5857
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01,0.2017,3.03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.11,0.2019,3.498
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05,0.2017,43.3898
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01,0.2018,1.8339
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07,0.2016,35.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07,0.2017,46.5669
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0.2017,38.753
